file,event_id,original_text_whisper,duration_seconds,size_bytes,replacement_file_to_copy_here,manual_notes
431.mp3,431,"Couldn't update, please move the robot vacuum to the station for charging and try again after the battery level is greater than 30%.",7.84,34992,,
440.mp3,440,Updated Successfully,1.50,9936,,
450.mp3,450,"Couldn't update, please try again.",2.02,11952,,
460.mp3,460,"System updating, please try again later.",2.52,13968,,
470.mp3,470,"The robot vacuum is repositioning, please stay away.",3.42,17568,,
480.mp3,480,"A new area is detected, and the robot vacuum will start a new cleanup task.",4.56,22032,,
490.mp3,490,"Reposition successfully, resuming cleanup.",2.78,15120,,
491.mp3,491,"A new area is detected, and the robot vacuum will start a new mapping task.",4.52,21888,,
492.mp3,492,Positioned successfully. Continue to create the map.,3.86,19296,,
500.mp3,500,"Repositioned successfully, the robot vacuum will return to the station to charge.",4.78,23040,,
510.mp3,510,"A new area is detected, and the robot vacuum will return to the station to charge.",4.84,23328,,
520.mp3,520,"The robot vacuum is here, the robot vacuum is here, the robot vacuum is here.",4.92,23472,,
530.mp3,530,Start remote control,2.00,9504,,
540.mp3,540,Exit Remote Control,2.00,9504,,
550.mp3,550,"The child lock is enabled, and all the buttons have been locked.",3.44,17712,,
560.mp3,560,"The child lock is disabled, and all the buttons have been unlocked.",3.60,18576,,
570.mp3,570,"All the buttons have been locked, please press and hold the dock and charge button to unlock.",4.84,23328,,
580.mp3,580,"Battery temperature error, please resume use after the battery temperature returns to normal.",5.24,24768,,
590.mp3,590,"Brush error, please check and clean.",2.10,12240,,
600.mp3,600,"Side brush error, please check and clean.",2.42,13536,,
610.mp3,610,"Drive wheel error, please check and clean.",2.36,13248,,
630.mp3,630,Wipe the CLIF sensors clean and move the robot vacuum to a new location to start.,4.60,22320,,
640.mp3,640,"Fan error, please check and clean the dust compartment filter and the air duct.",4.50,21888,,
650.mp3,650,"Bumper error, please check if the bumper can rebound properly.",3.54,18144,,
660.mp3,660,"Charging error, please try cleaning the charging contacts.",3.40,17712,,
670.mp3,670,"Laser sensor error, please check and clean.",2.72,14688,,
680.mp3,680,Please check whether the protective cover of the laser sensor is stuck.,4.00,18288,,
690.mp3,690,"Sensor along the edge error, please check and clean the sensor along the edge.",4.56,22032,,
700.mp3,700,Please try cleaning the line laser sensor.,3.00,13392,,
710.mp3,710,"Mop pad tray error, please check and clean.",2.74,14832,,
720.mp3,720,"The robot vacuum is stuck, please move it to a new location to start.",4.08,20160,,
730.mp3,730,"The robot vacuum is suspended, please move it to a new location to start.",4.48,21744,,
740.mp3,740,"The robot vacuum is tilted, please move it to a new location to start.",5.00,21024,,
750.mp3,750,"The cleaning path is blocked, please clear the surrounding obstacles.",3.76,19296,,
760.mp3,760,"couldn't reach the target area, and the cleanup is uncompleted. Returning to the station to charge.",6.40,29520,,
771.mp3,771,Couldn't find the target area and the cleanup is uncompleted. Returning to the station to charge.,6.48,29808,,
780.mp3,780,Detected that the vacuum mop is in a restricted area. Please move the vacuum mop out of this area.,6.22,28800,,
800.mp3,800,Start to dry the mop pad.,1.66,10368,,
801.mp3,801,Start cleaning the mop pad.,1.72,10656,,
802.mp3,802,Return to the station to clean the mop pads.,2.52,13968,,
803.mp3,803,"Dust collection is about to begin. 3, 2, 1.",3.66,18432,,
804.mp3,804,"Insufficient water in the clean water tank, please refill it in time.",4.10,20304,,
806.mp3,806,Please install the clean water tank.,2.00,11952,,
807.mp3,807,"The dirty water tank is full, please empty it before use.",3.68,18576,,
808.mp3,808,Please install the dirty water tank.,2.00,11808,,
810.mp3,810,Please install the disposable bag.,2.00,11664,,
815.mp3,815,Detected that the dirty water tank is not installed or is full.,3.56,18144,,
816.mp3,816,Detected that the washboard is not installed or the water level is too high.,4.10,20160,,
817.mp3,817,End mop pad drying.,1.44,9792,,
818.mp3,818,Detected that the clean water tank is not installed or has insufficient water.,4.30,21168,,
900.mp3,900,"The robot vacuum and the station are paired abnormally, simultaneously press and hold the mop pad cleaning button and the dry button for 7 seconds to pair again.",9.24,40752,,
910.mp3,910,Please move the robot vacuum away from the carpet area.,3.12,16416,,
